trip_id,driver_id,pickup_datetime,dropoff_datetime,pickup_area,dropoff_area,distance_km,duration_minutes,fare_bdt,surge_multiplier,vehicle_type,traffic_level,rider_rating,payment_method,cancelled,cancellation_reason,year,month,day_of_week,hour,date,is_weekend,is_peak_hour,is_monsoon,is_surge,speed_kmh,revenue_per_km,trip_revenue,Routee,Start of Month
TRIP_108873,DRV_4769,3/25/2021 21:12,3/25/2021 21:53,Banani,Eskaton,13.28,41,0,1,Moto,High,5,Cash,1,User cancelled,2021,March,Thursday,21,3/25/2021,FALSE,TRUE,FALSE,FALSE,19.43414634,0,0,Banani → Eskaton,3/1/2021 0:00
TRIP_109792,DRV_3080,6/5/2021 13:07,6/5/2021 13:46,Dhanmondi 27,Badda Link Road,12.1,39,0,1,Moto,Medium,5,Mobile Money,1,User cancelled,2021,June,Saturday,13,6/5/2021,TRUE,FALSE,TRUE,FALSE,18.61538462,0,0,Dhanmondi 27 → Badda Link Road,6/1/2021 0:00
TRIP_106253,DRV_4137,6/20/2021 19:54,6/20/2021 20:41,Badda Link Road,Tejgaon,12.02,47,0,1,Moto,High,5,Mobile Money,1,User cancelled,2021,June,Sunday,19,6/20/2021,FALSE,TRUE,TRUE,FALSE,15.34468085,0,0,Badda Link Road → Tejgaon,6/1/2021 0:00
TRIP_106441,DRV_3678,7/3/2021 17:55,7/3/2021 19:57,Uttara Sec 4,Baridhara,18.31,122,0,1,Moto,Gridlock,5,Mobile Money,1,User cancelled,2021,July,Saturday,17,7/3/2021,TRUE,TRUE,TRUE,FALSE,9.004918033,0,0,Uttara Sec 4 → Baridhara,7/1/2021 0:00
TRIP_104838,DRV_4316,9/10/2021 21:54,9/10/2021 22:57,Uttara Sec 11,Mirpur 12,16.08,63,0,1,Moto,High,5,Cash,1,User cancelled,2021,September,Friday,21,9/10/2021,TRUE,TRUE,TRUE,FALSE,15.31428571,0,0,Uttara Sec 11 → Mirpur 12,9/1/2021 0:00
TRIP_108304,DRV_4552,9/12/2021 7:39,9/12/2021 10:00,Rampura,Mohammadpur,21.01,141,0,1,Moto,Gridlock,5,Mobile Money,1,User cancelled,2021,September,Sunday,7,9/12/2021,FALSE,TRUE,TRUE,FALSE,8.940425532,0,0,Rampura → Mohammadpur,9/1/2021 0:00
TRIP_113932,DRV_1502,12/2/2021 22:18,12/2/2021 23:01,Dhanmondi 32,Moghbazar,17.19,43,0,1,Moto,Medium,5,Mobile Money,1,User cancelled,2021,December,Thursday,22,12/2/2021,FALSE,FALSE,FALSE,FALSE,23.98604651,0,0,Dhanmondi 32 → Moghbazar,12/1/2021 0:00
TRIP_112670,DRV_1721,12/6/2021 22:39,12/6/2021 23:23,Bashundhara R/A,Mirpur 10,14.22,44,0,1,Moto,High,5,Mobile Money,1,User cancelled,2021,December,Monday,22,12/6/2021,FALSE,FALSE,FALSE,FALSE,19.39090909,0,0,Bashundhara R/A → Mirpur 10,12/1/2021 0:00
TRIP_114259,DRV_4729,12/29/2021 21:58,12/29/2021 22:51,Airport,Mirpur 12,17.2,53,0,1,Moto,High,5,Cash,1,User cancelled,2021,December,Wednesday,21,12/29/2021,FALSE,TRUE,FALSE,FALSE,19.47169811,0,0,Airport → Mirpur 12,12/1/2021 0:00
TRIP_109786,DRV_2034,1/14/2022 18:31,1/14/2022 19:52,Gulshan 2,Rampura,14.9,81,0,1,Moto,Gridlock,5,Cash,1,User cancelled,2022,January,Friday,18,1/14/2022,TRUE,TRUE,FALSE,FALSE,11.03703704,0,0,Gulshan 2 → Rampura,1/1/2022 0:00
TRIP_105342,DRV_2715,1/19/2022 17:23,1/19/2022 18:08,Gulshan 2,Rampura,14.11,45,0,1,Moto,High,5,Mobile Money,1,User cancelled,2022,January,Wednesday,17,1/19/2022,FALSE,TRUE,FALSE,FALSE,18.81333333,0,0,Gulshan 2 → Rampura,1/1/2022 0:00
TRIP_104427,DRV_1548,1/30/2022 18:45,1/30/2022 19:10,Eskaton,Moghbazar,4.53,25,0,1,Moto,Gridlock,5,Cash,1,User cancelled,2022,January,Sunday,18,1/30/2022,FALSE,TRUE,FALSE,FALSE,10.872,0,0,Eskaton → Moghbazar,1/1/2022 0:00
TRIP_109315,DRV_2838,2/5/2022 9:21,2/5/2022 9:40,Mirpur DOHS,Farmgate,7.3,19,0,1,Moto,Medium,5,Card,1,User cancelled,2022,February,Saturday,9,2/5/2022,TRUE,TRUE,FALSE,FALSE,23.05263158,0,0,Mirpur DOHS → Farmgate,2/1/2022 0:00
TRIP_106135,DRV_1747,2/10/2022 21:43,2/10/2022 22:30,Badda Link Road,Airport,14.58,47,0,1,Moto,High,5,Mobile Money,1,User cancelled,2022,February,Thursday,21,2/10/2022,FALSE,TRUE,FALSE,FALSE,18.61276596,0,0,Badda Link Road → Airport,2/1/2022 0:00
TRIP_101252,DRV_1932,3/11/2022 8:38,3/11/2022 9:07,Khilgaon,Moghbazar,5.4,29,0,1,Moto,Gridlock,5,Wallet,1,User cancelled,2022,March,Friday,8,3/11/2022,TRUE,TRUE,FALSE,FALSE,11.17241379,0,0,Khilgaon → Moghbazar,3/1/2022 0:00
TRIP_101535,DRV_1535,3/19/2022 8:51,3/19/2022 9:36,Tejgaon,Baridhara,13.94,45,0,1,Moto,High,5,Cash,1,User cancelled,2022,March,Saturday,8,3/19/2022,TRUE,TRUE,FALSE,FALSE,18.58666667,0,0,Tejgaon → Baridhara,3/1/2022 0:00
TRIP_101646,DRV_2853,3/29/2022 9:08,3/29/2022 11:05,Uttara Sec 11,Banani,21.39,117,0,1,Moto,Gridlock,5,Mobile Money,1,User cancelled,2022,March,Tuesday,9,3/29/2022,FALSE,TRUE,FALSE,FALSE,10.96923077,0,0,Uttara Sec 11 → Banani,3/1/2022 0:00
